1,3,4,25,5
2,6,8,50,10
3,9,12,75,15
4,12,16,100,20
5,15,20,125,25
6,18,24,150,30
7,21,28,175,35
8,24,32,200,40
9,27,36,225,45
10,30,40,250,50
11,33,44,275,55
12,36,48,300,60
13,39,52,325,65
14,42,56,350,70
15,45,60,375,75
16,48,64,400,80
17,51,68,425,85
18,54,72,450,90
19,57,76,475,95
20,60,80,500,100
21,63,84,525,105
22,66,88,550,110
23,69,92,575,115
24,72,96,600,120
25,75,100,625,125
26,78,104,650,130
27,81,108,675,135
28,84,112,700,140
29,87,116,725,145
30,90,120,750,150
31,93,124,775,155
32,96,128,800,160
33,99,132,825,165
34,102,136,850,170
35,105,140,875,175
36,108,144,900,180
37,111,148,925,185
38,114,152,950,190
39,117,156,975,195
40,120,160,1000,200
41,123,164,1025,205
42,126,168,1050,210
43,129,172,1075,215
44,132,176,1100,220
45,135,180,1125,225
46,138,184,1150,230
47,141,188,1175,235
48,144,192,1200,240
49,147,196,1225,245
50,150,200,1250,250
51,153,204,1275,255
52,156,208,1300,260
53,159,212,1325,265
54,162,216,1350,270
55,165,220,1375,275
56,168,224,1400,280
57,171,228,1425,285
58,174,232,1450,290
59,177,236,1475,295
60,180,240,1500,300
61,183,244,1525,305
62,186,248,1550,310
63,189,252,1575,315
64,192,256,1600,320
65,195,260,1625,325
66,198,264,1650,330
67,201,268,1675,335
68,204,272,1700,340
69,207,276,1725,345
70,210,280,1750,350
71,213,284,1775,355
72,216,288,1800,360
73,219,292,1825,365
74,222,296,1850,370
75,225,300,1875,375
76,228,304,1900,380
77,231,308,1925,385
78,234,312,1950,390
79,237,316,1975,395
80,240,320,2000,400
81,243,324,2025,405
82,246,328,2050,410
83,249,332,2075,415
84,252,336,2100,420
85,255,340,2125,425
86,258,344,2150,430
87,261,348,2175,435
88,264,352,2200,440
89,267,356,2225,445
90,270,360,2250,450
91,273,364,2275,455
92,276,368,2300,460
93,279,372,2325,465
94,282,376,2350,470
95,285,380,2375,475
96,288,384,2400,480
97,291,388,2425,485
98,294,392,2450,490
99,297,396,2475,495
100,300,400,2500,500
